Gender,age,sibsp,parch,fare,embarked,class,who,alone,survived
0,24,0,0,7.7958,S,Third,mannn,TRUE,0
0,17,0,0,8.6625,S,Third,man,TRUE,0
1,21,0,0,7.75,Q,Third,womann,TRUE,0
1,,0,0,7.6292,Q,Third,woman,TRUE,0
1,37,0,0,9.5875,S,Third,womannn,TRUE,0
,16,0,0,86.5,S,First,woman,TRUE,1
0,18,1,0,108.9,C,First,mannn,FALSE,0
1,33,0,2,26,S,Second,woman,FALSE,1
0,,0,0,26.55,S,First,man,TRUE,1
0,28,0,0,22.525,S,Third,man,TRUE,0
0,26,0,0,56.4958,S,Third,man,TRUE,1
0,29,0,0,7.75,Q,Third,man,TRUE,1
0,,0,0,8.05,S,Third,man,TRUE,0
0,36,0,0,26.2875,S,,man,TRUE,1
1,54,1,0,59.4,C,First,woman,FALSE,1
0,24,0,0,7.4958,S,Third,man,TRUE,0
0,47,0,0,34.0208,S,First,man,TRUE,0
1,34,0,0,10.5,S,Second,woman,TRUE,1
0,,0,0,24.15,Q,Third,man,TRUE,0
1,36,1,0,26,S,Second,woman,FALSE,1
0,32,0,0,7.8958,S,Third,man,TRUE,0
1,30,0,0,93.5,S,First,woman,TRUE,1
,22,0,0,7.8958,S,Third,man,TRUE,0
0,,0,0,7.225,C,Third,man,TRUE,0
1,44,0,1,57.9792,C,First,woman,FALSE,1
0,,0,0,7.2292,C,Third,man,TRUE,0
0,40.5,0,0,7.75,Q,Third,man,TRUE,0
1,50,0,0,10.5,S,Second,woman,TRUE,1
0,,0,0,221.7792,S,First,man,TRUE,0
0,39,0,0,7.925,S,Third,man,TRUE,0
0,23,2,1,11.5,S,Second,man,FALSE,0
,2,1,1,26,S,Second,child,FALSE,1
0,,0,0,7.2292,C,Third,man,TRUE,0
0,17,1,1,7.2292,C,Third,man,FALSE,0
1,,0,2,22.3583,C,,woman,FALSE,1
1,30,0,0,8.6625,S,Third,woman,TRUE,0
1,7,0,2,26.25,S,Second,child,FALSE,1
0,45,0,0,26.55,S,First,man,TRUE,0
1,30,0,0,106.425,C,First,woman,TRUE,1
0,,0,0,14.5,S,Third,man,TRUE,0
1,22,0,2,49.5,C,First,woman,FALSE,1
1,36,0,2,71,S,First,woman,FALSE,1
,9,4,2,31.275,S,Third,child,FALSE,0
1,11,4,2,31.275,S,Third,child,FALSE,0
0,32,1,0,26,S,Second,man,FALSE,1
0,50,1,0,106.425,C,First,man,FALSE,0
0,64,0,0,26,S,First,man,TRUE,0
1,19,1,0,26,S,Second,woman,FALSE,1
0,,0,0,13.8625,C,Second,man,TRUE,1
0,33,1,1,20.525,S,Third,man,FALSE,0
0,8,1,1,36.75,S,Second,child,FALSE,1
0,17,0,2,110.8833,C,First,man,FALSE,1
0,27,0,0,26,S,Second,man,TRUE,0
0,,0,0,7.8292,Q,Third,man,TRUE,0
0,22,0,0,7.225,C,Third,man,TRUE,1
1,22,0,0,7.775,S,Third,woman,TRUE,1
0,62,0,0,26.55,S,First,man,TRUE,0
1,48,1,0,39.6,C,First,woman,FALSE,1
0,,0,0,227.525,C,First,man,TRUE,0
1,39,1,1,79.65,S,First,woman,FALSE,1
1,36,1,0,17.4,S,Third,woman,FALSE,1
0,,0,0,7.75,Q,Third,man,TRUE,0
0,40,0,0,7.8958,S,Third,man,TRUE,0
0,28,0,0,13.5,S,,man,TRUE,0
0,,0,0,8.05,S,Third,man,TRUE,0
1,,0,0,8.05,S,Third,woman,TRUE,0
0,24,2,0,24.15,S,Third,man,FALSE,0
0,19,0,0,7.8958,S,Third,man,TRUE,0
1,29,0,4,21.075,S,Third,woman,FALSE,0
0,,0,0,7.2292,C,Third,man,TRUE,0
0,32,0,0,7.8542,S,Third,man,TRUE,1
0,62,0,0,10.5,S,Second,man,TRUE,1
1,53,2,0,51.4792,S,First,woman,FALSE,1
0,36,0,0,26.3875,S,First,man,TRUE,1
1,,0,0,7.75,Q,Third,woman,TRUE,1
0,16,0,0,8.05,S,Third,man,TRUE,0
0,19,0,0,14.5,S,Third,man,TRUE,0
1,34,0,0,13,S,Second,woman,TRUE,1
1,39,1,0,55.9,S,First,woman,FALSE,1
1,,1,0,14.4583,C,Third,woman,FALSE,0
0,32,0,0,7.925,S,Third,man,TRUE,1
1,25,1,1,30,S,Second,woman,FALSE,1
1,39,1,1,110.8833,C,First,woman,FALSE,1
0,54,0,0,26,S,Second,man,TRUE,0
0,36,0,0,40.125,C,First,man,TRUE,0
0,,0,0,8.7125,C,Third,man,TRUE,0
1,18,0,2,79.65,S,First,woman,FALSE,1
0,47,0,0,15,S,Second,man,TRUE,0
0,60,1,1,79.2,C,First,man,FALSE,1
0,22,0,0,8.05,S,Third,man,TRUE,0
0,,0,0,8.05,S,Third,man,TRUE,0
0,35,0,0,7.125,S,Third,man,TRUE,0
1,52,1,0,78.2667,C,First,woman,FALSE,1
0,47,0,0,7.25,S,Third,man,TRUE,0
1,,0,2,7.75,Q,Third,woman,FALSE,0
0,37,1,0,26,S,Second,man,FALSE,0
0,36,1,1,24.15,S,Third,man,FALSE,0
1,,0,0,33,S,Second,woman,TRUE,1
0,49,0,0,0,S,,man,TRUE,0
0,,0,0,7.225,C,Third,man,TRUE,0
0,49,1,0,56.9292,C,First,man,FALSE,1
1,24,2,1,27,S,Second,woman,FALSE,1
0,,0,0,7.8958,S,Third,man,TRUE,0
0,,0,0,42.4,S,First,man,TRUE,0
0,44,0,0,8.05,S,Third,man,TRUE,0
0,35,0,0,26.55,C,First,man,TRUE,1
0,36,1,0,15.55,S,Third,man,FALSE,0
0,30,0,0,7.8958,S,Third,man,TRUE,0
0,27,0,0,30.5,S,First,man,TRUE,1
1,22,1,2,41.5792,C,Second,woman,FALSE,1
1,40,0,0,153.4625,S,First,woman,TRUE,1
1,179,1,5,31.275,S,Third,woman,FALSE,0
0,,0,0,7.05,S,Third,man,TRUE,0
1,,1,0,15.5,Q,Third,woman,FALSE,1
0,,0,0,7.75,Q,Third,man,TRUE,0
0,35,0,0,8.05,S,Third,man,TRUE,0
1,24,1,2,65,S,Second,woman,FALSE,1
0,34,1,1,14.4,S,Third,man,FALSE,0
1,26,1,0,16.1,S,Third,woman,FALSE,0
1,4,2,1,39,S,Second,child,FALSE,1
0,26,0,0,10.5,S,Second,man,TRUE,0
0,27,1,0,14.4542,C,Third,man,FALSE,0
0,42,1,0,52.5542,S,First,man,FALSE,1
0,20,1,1,15.7417,C,Third,man,FALSE,1
0,21,0,0,7.8542,S,Third,man,TRUE,0
0,21,0,0,16.1,S,Third,man,TRUE,0
0,61,0,0,32.3208,S,First,man,TRUE,0
0,157,0,0,12.35,Q,Second,man,TRUE,0
1,21,0,0,77.9583,S,First,woman,TRUE,1
0,26,0,0,7.8958,S,Third,man,TRUE,0
0,,0,0,7.7333,Q,Third,man,TRUE,0
0,80,0,0,30,S,First,man,TRUE,1
0,51,0,0,7.0542,S,Third,man,TRUE,0
0,32,0,0,30.5,C,First,man,TRUE,1
0,,0,0,0,S,First,man,TRUE,0
